,corpus
1936,excel readi moan scream ecstasi
1937,peopl dog area call join like mind guy arrang even minapn ls bb
1938,dude avatar imp one point thought actual fli room almost tri hittng one reflex
1939,well done costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min
1940,k k cant come search job
1941,got lousi sleep kept wake everi hour see cat want come worri cold
1942,yeah leav coupl minut amp let know get mu
1943,call make sure dat woken
1944,hey go jazz power yoga hip hop kb yogasana
1945,batteri mr adewal uncl aka egbon
1946,cant pick phone right pl send messag
1947,wait min stand bu stop
1948,oh ic thought meant mari jane
1949,haha realli oh deduct lesson tmr
1950,nah im goin wrk j wot bout u
1951,eat shit wait ur monkey face bitch u asshol
1952,good night go sleep
1953,aight grab someth eat text back mu
1954,k k cant come search job
1955,take someth pain move howev side next hr see doctor
1956,lol oh babe wont slide place midnight thank invit
1957,howz person stori
1958,guess somebodi know secretli fanci wanna find give us call landlin datebox essexcm xn p min
1959,lol would awesom payback
1960,free text messag valid decemb
1961,ye complet form clark also utter wast
1962,honeybe said sweetest world god laugh amp said wait u havnt met person read msg moral even god crack joke gm gn ge gn
1963,thank tesco quit nice gone speak soon
1964,featheri bowa someth guy know
1965,even cant close eye vava play umma
1966,laptop noe infra slow lar wan fast one
1967,guarante award even cashto claim ur award call free stop getstop php
1968,nvm ok
1969,enjoy ur life good night
1970,ye meet town co go gep home could text bu stop worri finish march ish
1971,askd u question hour answer
1972,that cool cum
1973,delhi chennai still silent
1974,lol alright thinkin haha
1975,repli win weekli fifa world cup held send stop end servic
1976,boat still mom check yo half nake
1977,shhhhh nobodi suppos know
1978,sorri call later
1979,sorri call later meet thing relat trade pleas call arul lt gt
1980,hey late amk need drink tea coffe
1981,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob
1982,urgent pleas call landlin abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm
1983,length e e top shorter n got fring thk go liao lazi dun wan distract u also
1984,antha num corrct dane
1985,call messag miss call
1986,sorri call later
1987,basket gettin full might tonight
1988,hi darlin ive got back realli nice night thank much lift see u tomorrow xxx
1989,valentin huh proof fb page ugh glad realli watch rupaul show tool
1990,free tone hope enjoy new content text stop unsubscrib help p provid tone co uk
1991,eh den sat u book e kb liao huh
1992,practis curtsey
1993,shall come get pickl
1994,lol boo hope laugh
1995,yeh def someth sat
1996,well leav class babe never came back hope nice sleep love
1997,lmao fish memori need
1998,b go sch mon si need take smth
1999,idea soon get convert live
2000,themob yo yo yo come new select hot download member get free click open next link sent ur fone
2001,india go draw seri mani year south african soil
2002,goodmorn today late lt decim gt min
2003,take major role commun outreach rock mel
2004,shop lor rain mah hard leav orchard
2005,hi birth lb oz mother babi brilliantli
2006,see forward messag proof
2007,keep go never intent run choos rather keep room clean say visitor mayb best choic ye want embarass mayb feel feel friend want drop buy say happen morn tri everyth know els
2008,dunno lei thk mum lazi go neva ask yet
2009,whatev want know rule talk earlier week start happen show respons yet everi week bend rule way way whatev tire thia argument everi week lt gt movi doesnt inlud preview still get
2010,beauti truth graviti read care heart feel light someon feel heavi someon leav goodmorn
2011,great news call freefon claim guarante cash gift speak live oper
2012,ambrith madurai met u arun dha marrg remembr
2013,read shame tell take run blame u ever realli ever long time
2014,princess kitti shave natur
2015,better bb wont use wife doctor
2016,ya came ago
2017,tomorrow onward eve work
2018,anyth lor toa payoh got place walk meh
2019,anybodi number still thought tact way ask alex
2020,u win music gift voucher everi week start txt word draw tsc www ldew com skillgam winaweek age ppermesssubscript
2021,movi theatr go watch unlimit movi pay
2022,u lunch alon bore
2023,ye obvious egg pert potato head speak soon
2024,nah man car meant cram full peopl
2025,got new job bar airport satsgettin per hour mean lie keep touch
2026,kalli readi bat nd inning
2027,thanx birthday alreadi
2028,ugh u apolog admit u wrong ask take u back
2029,noe la u wana pei bf oso rite k lor day den
2030,ye small kid boost secret energi
2031,im gonna miss u much
2032,avatar suppos subtoitl
2033,simpli sit watch match offic
2034,jot thing want rememb later
2035,oh sorri pleas
2036,hey go lo lesson gym
2037,dont pack buy store like cereal must pack food pack gari someth ja miss
2038,alway make thing bigger
2039,dun wan watch infern affair
2040,wake afternoon sup
2041,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat stoptxt
2042,send pic like
2043,okay book alreadi includ one bugi
2044,aight fuck get later
2045,de call time ill tell k
2046,dont use hook
2047,much blackberri bold nigeria
2048,hi home calicut
2049,hey darlin pick u colleg u tell wen mt love pete xx
2050,call use ur min call cast p min mob vari servic provid aom gbp month aom box er u stop age
2051,oh thkin goin yogasana den nd go den rush parco nb oki lor u call readi
2052,late need go n get da laptop
2053,sir wait mail
2054,pleas charg mobil get morn
2055,noth got msg frm tht unknown
2056,ugh fuck resub eve
2057,see shadow get earli spring yay
2058,one slice one breadstick lol
2059,hey want crave miss need love ahmad saeed al hallaq
2060,train tomorrow
2061,urgent mobil bonu caller prize nd attempt reach call asap box n qp ppm
2062,pass di ur contact n see wat u get red luv wid u blue u put smile face purpl u r reali hot pink u r swt orang thnk lyk u green reali wana go wid u yelow wnt u bck black jealou u brown miss nw plz giv one color
2063,co daddi arrang time c wat time fetch mah
2064,eldest know
2065,say hi drugdeal
2066,hard believ thing like say lie think twice say anyth
2067,eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight www getz co uk pobox w wq p
2068,sexi singl wait text age follow gender wither f e g f gay men text age follow g e g g
2069,good night dear sleepwel amp take care
2070,wondarful song
2071,freemsg claim ur sm messag text ok use web mobil ur mate etc join txt com p wk c box la wu remov txtx stop
2072,yar lor actual quit fast co da ge slow wat haha
2073,must come later normal bath da afternoon mah
2074,trust even
2075,hey hun onbu goin meet want go meal donyt feel like cuz get last bu home he sweet latelyxxx
2076,free rington repli real
2077,take like noon
2078,open mca
2079,aight wat happen side
2080,done oredi
2081,sweet well princess pleas tell like dislik bed
2082,wish great semest
2083,moji love word rich day
2084,dude like buff wind
2085,alright babe
2086,well done england get offici poli rington colour flag yer mobil text tone flag opt txt eng stop box w wx
2087,give everyth want need actual could better yor got money get work get man pay rent even fill fuck ga tank ye stress depress even call home thanksgiv cuz tell noth
2088,kalli wont play first two odi
2089,get cash togeth text jason
2090,oh love soooo good hear omg miss much today sorri problem provid thank tming
2091,final chanc claim ur worth discount voucher today text ye savamob member offer mobil cs savamob pobox uz sub
2092,privat account statement show unredeem bonu point claim call identifi code expir
2093,probabl want pick
2094,done
2095,cutest girl world
2096,dice art class thru thank though idea time come tomorrow
2097,sm servic inclus text credit pl goto www comuk net login unsubscrib stop extra charg help po box ip
2098,oh howda gud gud math en samachara chikku
2099,thk lor dunno get ticket wat u
2100,audri lousi autocorrect
2101,site simul test give tough question test readi
2102,anyway serious hit back otherwis light armand alway shit vomit
2103,fetch yun u fetch
2104,thank like well
2105,hmmm imagin come home rub feet make dinner help get readi date sure readi kind life
2106,free day sexi st georg day pic jordan txt pic dont miss everi wk sauci celeb pic c pocketbab co uk wk
2107,lara said loan lt gt
2108,spare power suppli
2109,yar quit clever aft mani guess lor got ask bring thk darren will go aiya thk leona still attach wat
2110,winner special select receiv cash award speak live oper claim call pm cost p
2111,yeah go bed back midnight
2112,sunshin hol claim ur med holiday send stamp self address envelop drink us uk po box bray wicklow eir quiz start saturday unsub stop
2113,well avail washob nob last night ask nickey platt instead
2114,time week ryan
2115,wish u mani mani return day happi birthday vikki
2116,u win music gift voucher everi week start txt word draw tsc www idew com skillgam winaweek age ppermesssubscript
2117,hope know still mad
2118,argh g spotti anyway thing rememb research provinc sterl problem free place look
2119,xam hall boy ask girl tell start term di answer den manag lot hesit n lookin around silent said intha ponnungal ipaditan
2120,know result
2121,congratul week competit draw u prize claim call b cs stop sm ppm
2122,beauti truth graviti read care heart feel light someon feel heavi someon leav good night
2123,sorri im get feel realli bad total reject kinda thing
2124,got shitload diamond though
2125,tessi pl favor pl convey birthday wish nimya pl dnt forget today birthday shija
2126,well go aunti
2127,mine like fr china noisi
2128,later guess needa mcat studi
2129,train manual show tech process password reset troubleshoot
2130,b u voucher w c marsm log onto www b utel com discount credit opt repli stop custom care call
2131,spoke uncl john today strongli feel need sacrific keep go call beg listen dont make promis make clear thing easi need pleas let us work thing long keep expect help creativ stifl pl keep happi promis part
2132,start search get job day great potenti talent
2133,carlo took leav minut
2134,well done luv ya
2135,came hostel
2136,k still love
2137,juz rememb gotta bath dog today
